epoch,d_loss,g_loss,epoch_time,params_G(M),params_D(M)
1,-1.4923539841297189,0.7565817458533638,64.6530282497406,3.576704,2.765568
2,-1.449181961856792,0.7351295778136724,63.60412120819092,3.576704,2.765568
3,-1.4453508258629089,0.7364553807305695,63.12631297111511,3.576704,2.765568
4,-1.4390469909515637,0.725453936090638,65.73784923553467,3.576704,2.765568
5,-1.4085704993728487,0.7228534785355709,68.33346128463745,3.576704,2.765568
6,-1.4009044655764453,0.7055555948410446,71.76475095748901,3.576704,2.765568
7,-1.3717838027413156,0.6916244471834426,74.0027539730072,3.576704,2.765568
8,-1.3622735054178519,0.6980247315610837,71.13574123382568,3.576704,2.765568
9,-1.3520507521345428,0.684226832428897,69.99112963676453,3.576704,2.765568
10,-1.3115416614484237,0.6625518936678175,70.7813446521759,3.576704,2.765568
11,-1.3108650453569948,0.6735660483662359,68.91677808761597,3.576704,2.765568
12,-1.293948058930921,0.6658874200573537,70.66554474830627,3.576704,2.765568
13,-1.283111653926278,0.6525411906958618,65.94960522651672,3.576704,2.765568
14,-1.2689971404100044,0.6559840768442111,64.66496157646179,3.576704,2.765568
15,-1.2464903539258905,0.6458161930647821,63.98451805114746,3.576704,2.765568
16,-1.2430027219229562,0.6376791300178146,62.51410150527954,3.576704,2.765568
17,-1.2294617167050341,0.6357874310397746,61.93607425689697,3.576704,2.765568
18,-1.1923886742466696,0.6196643924948768,62.408019065856934,3.576704,2.765568
19,-1.1901986448621322,0.6197360999078494,62.22729015350342,3.576704,2.765568
20,-1.1794524189375732,0.6128691438032212,63.019325733184814,3.576704,2.765568
21,-1.1673571465110046,0.6056903151344513,63.608527183532715,3.576704,2.765568
22,-1.1602858223316763,0.6032984071672345,67.39788508415222,3.576704,2.765568
23,-1.1372170085790978,0.597822971892437,69.53919816017151,3.576704,2.765568
24,-1.136237698159969,0.5824105274516531,65.410573720932,3.576704,2.765568
25,-1.1102844986888114,0.5862799843775631,62.45675706863403,3.576704,2.765568
26,-1.1348995951012673,0.5976418152346578,62.53786492347717,3.576704,2.765568
27,-1.128596115661797,0.5964720253516632,62.721537590026855,3.576704,2.765568
28,-1.1273323701606364,0.5966115280217879,66.81294989585876,3.576704,2.765568
29,-1.1126744818519538,0.5926918915893868,70.02622294425964,3.576704,2.765568
30,-1.1079943803605288,0.5863949375873415,66.61089015007019,3.576704,2.765568
31,-1.102038097557124,0.5874188303823431,68.697918176651,3.576704,2.765568
32,-1.0851786086257076,0.5770495268069065,69.71830201148987,3.576704,2.765568
33,-1.0726952730998798,0.5643761163522584,68.07253885269165,3.576704,2.765568
34,-1.058192284327005,0.5643265463707542,68.79809069633484,3.576704,2.765568
35,-1.0449808655108745,0.5585051267699991,68.58416604995728,3.576704,2.765568
36,-1.0323006459219661,0.5533248817264347,66.46620035171509,3.576704,2.765568
37,-1.0140506608767028,0.5438419615208301,66.73272514343262,3.576704,2.765568
38,-1.0227954795204877,0.5405946276049284,69.2966775894165,3.576704,2.765568
39,-1.0206097110285497,0.5433591565620464,68.16939282417297,3.576704,2.765568
40,-1.0090520557841327,0.5366420371269524,67.21359252929688,3.576704,2.765568
41,-0.9852790583721655,0.5190957613890363,66.42286539077759,3.576704,2.765568
42,-0.9728678952945484,0.5200438163220578,66.88112020492554,3.576704,2.765568
43,-0.9655496288811198,0.5190225836395187,65.28860187530518,3.576704,2.765568
44,-0.9554329653402908,0.5057815455005202,66.88919377326965,3.576704,2.765568
45,-0.939852971998586,0.491006082294702,65.7406861782074,3.576704,2.765568
46,-0.8931533948407435,0.47615695012692794,71.78384184837341,3.576704,2.765568
47,-0.8873156449553603,0.4599524742235619,66.47842383384705,3.576704,2.765568
48,-0.8633728169295913,0.45112822839940175,61.85359811782837,3.576704,2.765568
49,-0.8254123711326516,0.42572186529760403,67.39287209510803,3.576704,2.765568
50,-0.7915385995112675,0.42130740137386796,62.22186017036438,3.576704,2.765568
