epoch,d_loss,g_loss,epoch_time,params_G(M),params_D(M)
1,0.6726290001414525,5.154219984435118,18.270654678344727,3.576704,2.765568
2,0.6177508259335389,3.9889064817092357,18.205840826034546,3.576704,2.765568
3,0.5578440886038618,4.468726194726351,16.234145879745483,3.576704,2.765568
4,0.4938369948560229,4.881780135325896,17.615103006362915,3.576704,2.765568
5,0.5906064758698145,4.759068126861866,14.899064779281616,3.576704,2.765568
6,0.5252607073754263,4.827954352188569,14.505738973617554,3.576704,2.765568
7,0.48196431371168447,5.1221054536409865,14.578340768814087,3.576704,2.765568
8,0.4168831100866485,5.453905201206605,14.04380464553833,3.576704,2.765568
9,0.3456317713388648,5.460433374039638,14.49601697921753,3.576704,2.765568
10,0.36417125229938674,5.860959110351709,14.769592761993408,3.576704,2.765568
11,0.28212842561128454,5.853233089049657,14.998616933822632,3.576704,2.765568
12,0.31659014029458216,5.838503722531291,14.3448326587677,3.576704,2.765568
13,0.25800374111471075,6.074483301777106,14.376455068588257,3.576704,2.765568
14,0.31402553614521495,6.188205466629603,16.62965965270996,3.576704,2.765568
15,0.3198703359812498,5.917255113904293,20.16359543800354,3.576704,2.765568
16,0.2339197349561474,5.884907207045799,18.00684404373169,3.576704,2.765568
17,0.26488805144356614,6.033158166429553,15.763319730758667,3.576704,2.765568
18,0.2684618803532197,6.29577130996264,15.403886318206787,3.576704,2.765568
19,0.22468924078529176,6.241321836717618,15.192868709564209,3.576704,2.765568
20,0.23869865567226392,6.330972940493853,14.929835557937622,3.576704,2.765568
21,0.2649298934862973,6.238626137184791,14.606934785842896,3.576704,2.765568
22,0.18926207090351874,6.2631283177015105,14.399690866470337,3.576704,2.765568
23,0.179453818506609,6.9514404852420855,16.232985019683838,3.576704,2.765568
24,0.21029074515554852,7.0614537028357,15.244965314865112,3.576704,2.765568
25,0.18477047172032493,7.050558241514059,14.599888801574707,3.576704,2.765568
26,0.17760119284204662,6.713277047643294,15.305593013763428,3.576704,2.765568
27,0.23606039854199387,6.740206958248447,14.93104863166809,3.576704,2.765568
28,0.19352658386849678,6.4015684856627235,15.061428546905518,3.576704,2.765568
29,0.2255675975495997,6.7885114683841286,14.458014726638794,3.576704,2.765568
30,0.17893612077638793,6.2167024459594336,15.466574907302856,3.576704,2.765568
31,0.24253002027772033,6.489106605354792,15.020851850509644,3.576704,2.765568
32,0.22187750288942018,6.109129406893865,15.453738689422607,3.576704,2.765568
33,0.28476229889276555,5.95880679657253,18.36870241165161,3.576704,2.765568
34,0.25743129160792494,5.356476891379899,16.27298593521118,3.576704,2.765568
35,0.30931652417907923,5.9625255432553015,14.698638439178467,3.576704,2.765568
36,0.2371703733045321,5.656784074428754,15.740826606750488,3.576704,2.765568
37,0.31493937628319824,5.204661334936436,16.031237602233887,3.576704,2.765568
38,0.24512992969427544,5.236592328080382,14.908328533172607,3.576704,2.765568
39,0.3169962545582213,5.24749267512025,15.343584775924683,3.576704,2.765568
40,0.2964466073287603,5.298161990176409,14.793550491333008,3.576704,2.765568
41,0.26933398626099986,5.128891082910391,14.76120138168335,3.576704,2.765568
42,0.3146841758862138,5.275873135966369,16.16352105140686,3.576704,2.765568
43,0.2822774189064661,4.918744864372107,19.12864923477173,3.576704,2.765568
44,0.34259635026160723,5.156940669370576,16.61349105834961,3.576704,2.765568
45,0.24682877111272553,4.747449515626217,15.931957483291626,3.576704,2.765568
46,0.3575166693667714,5.001221895110435,16.441659212112427,3.576704,2.765568
47,0.27960862052770186,4.667664013564204,17.392855644226074,3.576704,2.765568
48,0.30280287131571615,5.027132388299856,18.530871868133545,3.576704,2.765568
49,0.28895449524339384,4.772655221705254,16.712777376174927,3.576704,2.765568
50,0.3675762574809293,4.814854390578917,16.621830940246582,3.576704,2.765568
