epoch,d_loss,g_loss,epoch_time,params_G(M),params_D(M)
1,-65.42054663636746,128.26115614022964,92.49400520324707,3.576704,2.765568
2,-10.258896982822662,161.1582563840426,98.09098672866821,3.576704,2.765568
3,-12.064744043044556,115.85857366904234,90.43030619621277,3.576704,2.765568
4,-12.094826513375992,74.52006159073267,92.9891312122345,3.576704,2.765568
5,-13.915341918285076,44.52601273854574,90.35121154785156,3.576704,2.765568
6,-16.10429531030166,32.955147749338394,86.67379927635193,3.576704,2.765568
7,-17.861983578938705,31.71551862129798,89.19532322883606,3.576704,2.765568
8,-16.91772595506448,38.14814707560417,86.74853491783142,3.576704,2.765568
9,-13.675064220642431,43.40579363015982,99.87767577171326,3.576704,2.765568
10,-14.404778278026825,45.38303915659586,95.30750107765198,3.576704,2.765568
11,-13.551469572079487,43.57480673912244,91.95559239387512,3.576704,2.765568
12,-12.038464668469551,45.15517855913211,90.16214895248413,3.576704,2.765568
13,-13.981055991771894,44.48174074368599,87.03183603286743,3.576704,2.765568
14,-12.669647572132257,46.84138652605888,87.7077853679657,3.576704,2.765568
15,-11.690680040380894,48.62200181912153,89.34826612472534,3.576704,2.765568
16,-10.617155115573834,50.19222463705601,85.91097974777222,3.576704,2.765568
17,-10.704134741845804,51.096098789801964,88.67753195762634,3.576704,2.765568
18,-11.130363893050413,54.48800118764242,88.4508535861969,3.576704,2.765568
19,-6.8998356856023655,48.51940139134725,85.9261085987091,3.576704,2.765568
20,-10.40709030857453,56.01188626656165,89.11646366119385,3.576704,2.765568
21,-10.850082516670227,56.84453846858098,86.51100254058838,3.576704,2.765568
22,-8.996265592387854,55.71884572200286,85.63041377067566,3.576704,2.765568
23,-8.586139109081182,58.444239885379105,101.03694343566895,3.576704,2.765568
24,-10.365071807916348,59.1637159983317,88.38363218307495,3.576704,2.765568
25,-10.037250066032776,59.55306533666757,90.23199987411499,3.576704,2.765568
26,-10.037872140988325,62.54579934095725,91.32338666915894,3.576704,2.765568
27,-9.108883851804794,65.23684213100336,87.33411717414856,3.576704,2.765568
28,-9.469084665561335,69.75307539181831,91.09581518173218,3.576704,2.765568
29,-8.003085322152728,69.86654891723242,88.79700756072998,3.576704,2.765568
30,-8.8332953391931,70.16232783977802,53.431323528289795,3.576704,2.765568
31,-9.714864635696777,74.30346893652892,50.80573916435242,3.576704,2.765568
32,-8.217080200616365,72.1347465026073,50.253708362579346,3.576704,2.765568
33,-8.990564229396673,74.79354868179712,51.08069586753845,3.576704,2.765568
34,-8.757318247205172,75.48125076293945,52.014045000076294,3.576704,2.765568
35,-9.565173749358227,76.0210365270957,52.751792669296265,3.576704,2.765568
36,-9.26159803263652,79.07054152855507,50.59961724281311,3.576704,2.765568
37,-8.785338647185991,80.54886810596173,51.142409324645996,3.576704,2.765568
38,-6.971802540123463,80.47112076099103,50.8902108669281,3.576704,2.765568
39,-9.12253504456618,84.1046387110001,53.243797302246094,3.576704,2.765568
40,-8.05709527222774,84.77161243634346,53.93608593940735,3.576704,2.765568
41,-8.425975667456022,88.08391583271516,53.985044717788696,3.576704,2.765568
42,-8.44677073527605,88.04534912109375,50.89673066139221,3.576704,2.765568
43,-6.190543178397302,92.00421585180821,63.80922484397888,3.576704,2.765568
44,-8.60660823998161,93.51486631540152,92.62700700759888,3.576704,2.765568
45,-7.092722875925784,92.74826629345233,89.25943851470947,3.576704,2.765568
46,-6.559004096839672,92.40045200250087,83.91427087783813,3.576704,2.765568
47,-9.384891017125202,94.40575709709755,56.74014925956726,3.576704,2.765568
48,-7.07838128029536,95.39936483823337,66.44034695625305,3.576704,2.765568
49,-8.188921693425913,97.46562207050813,64.86492228507996,3.576704,2.765568
50,-8.388762013270306,102.31060707874788,99.19925904273987,3.576704,2.765568
