epoch,d_loss,g_loss,epoch_time,params_G(M),params_D(M)
1,1.215694978352516,6.310238519923821,8.71427321434021,3.576704,2.765568
2,0.7652126495395938,2.9025875263877454,16.395854949951172,3.576704,2.765568
3,0.5255451977493302,2.1881346118546303,8.828599691390991,3.576704,2.765568
4,0.20148825465190795,1.2154645775595019,13.614434719085693,3.576704,2.765568
5,0.08886482602646274,0.8398847426137617,9.774121761322021,3.576704,2.765568
6,0.1082750408639831,0.6173142430282408,9.082794427871704,3.576704,2.765568
7,0.09723358793604758,0.5934642957102868,8.012152194976807,3.576704,2.765568
8,0.12078126135372347,0.58745146807163,12.69984221458435,3.576704,2.765568
9,0.1125179190308817,0.592883175419223,12.45845627784729,3.576704,2.765568
10,0.12161238840030085,0.6427456952871815,8.12881350517273,3.576704,2.765568
11,0.10644151787123372,0.7045653789274154,13.253793478012085,3.576704,2.765568
12,0.09895463684393514,0.7104615174954937,9.901493549346924,3.576704,2.765568
13,0.09926561200089994,0.6279622691292917,11.423986434936523,3.576704,2.765568
14,0.0896685304300439,0.6212372496243446,19.477626085281372,3.576704,2.765568
15,0.06673379428684711,0.6046077810948894,20.59718155860901,3.576704,2.765568
16,0.08150708915725831,0.5846934058973866,21.41202974319458,3.576704,2.765568
17,0.10929372654326501,0.5199965858651746,21.542999505996704,3.576704,2.765568
18,0.10213280589349809,0.44551399926985463,16.01031756401062,3.576704,2.765568
19,0.12015892421045611,0.4656057809629748,16.05376625061035,3.576704,2.765568
20,0.1702799468992218,0.4935884386781723,19.24228000640869,3.576704,2.765568
21,0.09000304112991979,0.5218029724013421,19.88832426071167,3.576704,2.765568
22,0.12352250997097261,0.544965116247054,19.65548801422119,3.576704,2.765568
23,0.1473115448269152,0.7132792131554696,22.673046350479126,3.576704,2.765568
24,0.10280952476445705,0.6017979280121865,20.88047504425049,3.576704,2.765568
25,0.10677249477274957,0.5792776346206665,9.970986604690552,3.576704,2.765568
26,0.10342363310196707,0.6083523558993493,8.740344524383545,3.576704,2.765568
27,0.0994590291332814,0.5849433137524512,9.017394542694092,3.576704,2.765568
28,0.10566898369260373,0.6934166110811695,9.783650398254395,3.576704,2.765568
29,0.10471995595482088,0.6240374513210789,20.451518774032593,3.576704,2.765568
30,0.10176952976372934,0.6235542931864339,17.625932693481445,3.576704,2.765568
31,0.10421321312746694,0.6616163907512542,15.907836675643921,3.576704,2.765568
32,0.10162960377431685,0.6305159883153054,21.23458957672119,3.576704,2.765568
33,0.10219045067506452,0.5511662738938485,21.10418725013733,3.576704,2.765568
34,0.14838284878961502,0.551900734824519,21.130023956298828,3.576704,2.765568
35,0.06837995885120284,0.48698978558663397,20.520758152008057,3.576704,2.765568
36,0.09020539072732772,0.6210342717747535,19.371882677078247,3.576704,2.765568
37,0.08222685556017584,0.6077666008664716,20.52893376350403,3.576704,2.765568
38,0.1098445782498006,0.6021972168837825,20.812562704086304,3.576704,2.765568
39,0.1297259035129701,0.5483157802974025,19.733710050582886,3.576704,2.765568
40,0.105960434002261,0.5365736003844969,23.973350286483765,3.576704,2.765568
41,0.12331413141181392,0.5557764533065981,20.52916646003723,3.576704,2.765568
42,0.12828786502922734,0.5569008314801801,20.726884126663208,3.576704,2.765568
43,0.09800197724853793,0.5505409418575226,22.115390300750732,3.576704,2.765568
44,0.10516748685509927,0.5699441447373359,21.5174241065979,3.576704,2.765568
45,0.1402979648161319,0.5360738096698638,20.86962604522705,3.576704,2.765568
46,0.12541015710561507,0.5435640489862811,19.2275071144104,3.576704,2.765568
47,0.14797461789942556,0.5224175960306199,23.370678186416626,3.576704,2.765568
48,0.13670646615566745,0.4934685528278351,19.93179678916931,3.576704,2.765568
49,0.13616855009909598,0.5254544687847937,19.339361667633057,3.576704,2.765568
50,0.1575991768510111,0.5510851310626153,19.95268988609314,3.576704,2.765568
