epoch,d_loss,g_loss,epoch_time,params_G(M),params_D(M)
1,-21.309627006611517,18.46870183944702,8.680907249450684,3.576704,2.765568
2,-80.92488984138735,49.68785538211946,9.109923362731934,3.576704,2.765568
3,1.5086307525634766,-33.564179143598004,16.997719287872314,3.576704,2.765568
4,-4.211366838024508,-9.508085496963993,19.265204429626465,3.576704,2.765568
5,-49.72275475532778,42.451002782390965,19.78160047531128,3.576704,2.765568
6,-88.72081516635033,66.172333932692,20.1894633769989,3.576704,2.765568
7,-99.04132719962827,32.47245084085772,20.290985822677612,3.576704,2.765568
8,-155.2768944771059,106.46731678132087,19.999775409698486,3.576704,2.765568
9,-100.59570238667149,-18.560615631841845,20.54606580734253,3.576704,2.765568
10,-262.1306917744298,145.90667404667025,20.269792556762695,3.576704,2.765568
11,-317.6598294165827,171.28965553160637,20.017517805099487,3.576704,2.765568
12,-352.44347430813696,226.71819994526524,21.066225290298462,3.576704,2.765568
13,-141.3722440658077,81.25849496164629,19.991742372512817,3.576704,2.765568
14,-445.2740754158266,299.02198250063003,21.331318140029907,3.576704,2.765568
15,-485.72849396736393,207.3981239564957,20.129533290863037,3.576704,2.765568
16,-8.579432333669354,-342.0132623487903,19.737229585647583,3.576704,2.765568
17,-317.3660947738155,46.673340335969,9.962517261505127,3.576704,2.765568
18,-636.1410660282259,323.9813645885837,8.133826971054077,3.576704,2.765568
19,-494.79019952589465,250.7122842111895,15.70602536201477,3.576704,2.765568
20,-832.4532175371723,500.1379886750252,12.841057777404785,3.576704,2.765568
21,-307.3588571856099,-113.64208590599799,20.26529860496521,3.576704,2.765568
22,-73.68958503969255,-314.18963893767324,19.420907020568848,3.576704,2.765568
23,-982.209463796308,581.7303427419355,9.014362096786499,3.576704,2.765568
24,-441.8169339087702,105.24065082303939,11.472327709197998,3.576704,2.765568
25,-1393.7494920299898,723.5327620967741,13.224731206893921,3.576704,2.765568
26,-1374.4585787865424,765.4794026036417,20.31855583190918,3.576704,2.765568
27,-1374.719448950983,824.1397134104083,20.758545875549316,3.576704,2.765568
28,-1204.7046528477822,846.1622196320565,13.19870924949646,3.576704,2.765568
29,-1600.6176049017138,937.3411195816532,9.328348398208618,3.576704,2.765568
30,-1650.1695340064264,1013.3611233618951,9.123861074447632,3.576704,2.765568
31,-1877.1458582724295,1080.348394578503,8.418903589248657,3.576704,2.765568
32,-1982.6155868038054,1172.86473624937,8.440305233001709,3.576704,2.765568
33,-2247.340643113659,1260.3499283329134,9.605480194091797,3.576704,2.765568
34,-2320.7557412424394,1331.2913700226813,17.370697736740112,3.576704,2.765568
35,-2610.5697297127017,1427.7176553049396,8.45016884803772,3.576704,2.765568
36,-2626.0498283140123,1490.9051828692036,7.9863975048065186,3.576704,2.765568
37,-2938.0778021043348,1602.0379993069557,8.303537368774414,3.576704,2.765568
38,-2566.372493620842,1586.3078416393648,8.560333967208862,3.576704,2.765568
39,-3285.530958606351,1758.8481720955142,13.028742790222168,3.576704,2.765568
40,-3476.2773201234877,1863.3107161983366,17.358919620513916,3.576704,2.765568
41,-3743.6375299269152,1946.9308727633568,19.552922010421753,3.576704,2.765568
42,-4139.330645161291,2122.314453125,19.047640323638916,3.576704,2.765568
43,-4230.4875015751,2204.4160077494957,20.23519468307495,3.576704,2.765568
44,-4245.925607988911,2261.9198194934474,19.73068118095398,3.576704,2.765568
45,-4403.305380544355,2361.922182144657,20.44491744041443,3.576704,2.765568
46,-4576.772799584173,2448.9734831779233,21.520859479904175,3.576704,2.765568
47,-4822.984319871472,2567.0276115171373,21.067358016967773,3.576704,2.765568
48,-3602.9473955708168,2304.8320863785284,20.330923557281494,3.576704,2.765568
49,-4339.650272492439,2590.189614572833,19.593387365341187,3.576704,2.765568
50,-5391.7783045614915,2841.4959992439517,19.256274700164795,3.576704,2.765568
