epoch,d_loss,g_loss,epoch_time,params_G(M),params_D(M)
1,-20.11312614402301,51.63242333738202,199.17911314964294,3.576704,2.765568
2,-15.826695991462996,19.275109048078978,203.9080410003662,3.576704,2.765568
3,-15.610429378233555,19.238121578543804,222.65617036819458,3.576704,2.765568
4,-14.525022788786552,37.18297554680388,192.7266809940338,3.576704,2.765568
5,-12.77890711763299,49.87193808757083,193.72390174865723,3.576704,2.765568
6,-11.210541694135275,58.62374779265303,193.81639194488525,3.576704,2.765568
7,-8.55611324997168,68.24431071360804,215.56943011283875,3.576704,2.765568
8,-10.363858026384392,77.49963962100685,218.42326307296753,3.576704,2.765568
9,-9.39190895897402,81.3534042612386,225.02824521064758,3.576704,2.765568
10,-9.098529815215917,88.69252207581427,215.59618997573853,3.576704,2.765568
11,-8.860628214301052,98.71979175914417,204.93855047225952,3.576704,2.765568
12,-9.14039951631568,104.67766068931121,214.73307085037231,3.576704,2.765568
13,-8.690470978216997,108.49774198251252,240.19034075737,3.576704,2.765568
14,-8.241963893079728,116.55662972307388,249.90083932876587,3.576704,2.765568
15,-7.3631547837495495,117.21034104937017,205.06691789627075,3.576704,2.765568
16,-6.97110580148297,124.14127894949821,242.90012454986572,3.576704,2.765568
17,-7.525923062817083,135.1362872838058,388.84071803092957,3.576704,2.765568
18,-7.620194489057635,141.6414618498232,274.55073261260986,3.576704,2.765568
19,-8.06302508231009,145.66471137951643,170.68761682510376,3.576704,2.765568
20,-7.267463592881582,152.20913606416553,179.8981306552887,3.576704,2.765568
21,-6.326247862717864,154.07356103953265,177.58098340034485,3.576704,2.765568
22,-7.033553700517295,158.15678749621753,200.02345991134644,3.576704,2.765568
23,-7.234739732154658,166.10399175392376,204.90131068229675,3.576704,2.765568
24,-7.808647689913971,173.93648489000856,203.81971311569214,3.576704,2.765568
25,-5.9230673381255015,179.0450988066181,201.9515552520752,3.576704,2.765568
26,-5.6912009968266135,184.44409400461274,206.04009914398193,3.576704,2.765568
27,-7.163822068857857,192.3413562847924,207.76934123039246,3.576704,2.765568
28,-6.133597714704832,193.41822410515115,201.15297937393188,3.576704,2.765568
29,-6.124912822254183,194.4075869121869,201.1351339817047,3.576704,2.765568
30,-4.988097626901925,198.6204521775093,203.49365401268005,3.576704,2.765568
31,-6.781197897183605,200.1178749074704,195.3974094390869,3.576704,2.765568
32,-6.475383098429205,201.3994296338891,199.41434693336487,3.576704,2.765568
33,-5.762254988099716,206.47527482231814,199.02184319496155,3.576704,2.765568
34,-7.05138413335236,211.3343419308241,182.87931656837463,3.576704,2.765568
35,-4.44491038344581,219.84524301682788,176.24790358543396,3.576704,2.765568
36,-6.035351225607831,224.42258659489787,201.22252440452576,3.576704,2.765568
37,-6.100471332001472,229.95331298984425,195.55973100662231,3.576704,2.765568
38,-5.343979856707681,232.45175803913503,202.19784951210022,3.576704,2.765568
39,-6.550618703096685,234.91394103535006,198.53664016723633,3.576704,2.765568
40,-5.675967650705049,235.2862870415408,174.0253849029541,3.576704,2.765568
41,-7.119378060064304,237.70188161383518,204.7964963912964,3.576704,2.765568
42,-5.951595875063718,242.86288161039658,209.84255480766296,3.576704,2.765568
43,-5.434520678592324,246.93359201116232,255.12615537643433,3.576704,2.765568
44,-5.027537069427715,251.7434521625045,247.5518021583557,3.576704,2.765568
45,-5.168982910734057,254.12142600475903,248.39354014396667,3.576704,2.765568
46,-5.635270627814127,254.24911289972167,251.4534342288971,3.576704,2.765568
47,-5.3385802550329595,252.59299186677237,463.9775688648224,3.576704,2.765568
48,-3.8298679272073026,255.00594188187094,482.4623975753784,3.576704,2.765568
49,-5.801825686640532,260.362138618733,517.3284003734589,3.576704,2.765568
50,-5.823324305338072,259.29388400381873,556.528121471405,3.576704,2.765568
